ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2012-07-25;117.029;137.8908;482.072;1874.267;2324.33;306.41
2012-07-26;117.03;138.0167;482.16;1874.279;2362.85;306.68
2012-07-27;117.028;138.0494;482.068;1871.95;2408.07;306.68
2012-07-30;117.032;138.2027;482.768;1873.55;2406.99;307.63
2012-07-31;117.032;138.3637;483.167;1874.016;2396.62;308.27
2012-08-01;117.035;138.3622;482.871;1872.835;2389.73;308.32
2012-08-02;117.037;138.3474;483.134;1873.791;2372.31;308.88
2012-08-03;117.035;138.4026;482.797;1872.71;2417.77;308.97
2012-08-06;117.038;138.5365;483.36;1873.414;2423.46;309.92
2012-08-07;117.036;138.6293;482.876;1871.639;2435.88;309.99
2012-08-08;117.036;138.4566;482.761;1872.037;2438.16;310.08
2012-08-09;117.035;138.4363;482.784;1871.687;2440.23;310.08
2012-08-10;117.033;138.453;483.227;1871.96;2445.64;310.24
2012-08-13;117.036;138.4403;483.391;1870.992;2443.05;310.26
2012-08-14;117.036;138.3638;483.19;1868.704;2443.16;310.03
2012-08-15;117.037;138.0507;482.799;1865.177;2446.82;309.42
2012-08-16;117.037;138.0674;482.745;1864.604;2464.38;309.26
2012-08-17;117.035;137.9345;482.959;1865.32;2469.0;309.39
2012-08-20;117.039;137.8903;483.234;1866.067;2468.99;309.53
2012-08-21;117.039;137.9507;483.34;1866.313;2460.41;309.91
2012-08-22;117.039;138.2259;484.066;1870.8;2461.12;310.63
2012-08-23;117.04;138.5412;484.342;1872.845;2441.29;311.17
2012-08-24;117.037;138.4291;484.139;1871.705;2457.4;311.16
2012-08-27;117.041;138.5912;484.497;1872.665;2456.22;311.45
2012-08-28;117.041;138.6101;484.593;1873.155;2454.39;311.67
2012-08-29;117.041;138.4659;484.588;1872.241;2457.05;311.56
2012-08-30;117.042;138.3808;484.957;1873.466;2438.2;311.52
2012-08-31;117.039;138.7413;485.634;1875.917;2450.6;311.85
2012-09-03;117.044;;485.774;1872.004;;311.99
2012-09-04;117.043;138.7499;485.58;1876.117;2447.8;312.09
2012-09-05;117.043;138.7663;485.648;1876.486;2445.81;312.33
2012-09-06;117.044;138.663;485.302;1875.11;2496.12;312.41
2012-09-07;117.042;138.9117;486.019;1875.367;2506.37;313.07
2012-09-10;117.046;139.0193;486.13;1873.77;2491.11;313.43
2012-09-11;117.046;139.083;486.303;1873.005;2498.95;313.86
2012-09-12;117.047;138.9975;486.311;1872.185;2504.84;314.09
